name,student number,gender,age,phone number
谢成,2002029646,女,21,17110728804
曹玲,2002071199,男,19,17087049359
姚金凤,2002074740,男,19,14521594967
刘欢,2002055225,男,22,18793616027
周丽,2002058536,女,22,14577628886
王婷婷,2002026024,男,22,18014318033
金淑兰,2002051414,男,19,18899660267
花畅,2002030846,女,19,15330960954
苏瑞,2002083607,女,18,17897028989
邹涛,2002046843,女,21,17857725465
姚宇,2002091821,女,21,18661534410
董博,2002093008,女,20,13862551734
陶凯,2002092016,男,19,17290469834
刘秀云,2002037631,女,18,17659367665
董莹,2002075532,女,19,18851529715
刘俊,2002034328,男,22,15889542740
王桂香,2002098044,男,21,15896263269
王璐,2002069888,男,20,17279180248
王金凤,2002015728,男,20,14932620610
姜洁,2002092723,女,21,14715724142
杨淑兰,2002091931,男,19,14942208038
胡楠,2002084924,女,18,15167356821
李娜,2002067948,女,21,14799674336
范秀云,2002084659,男,18,18389675902
蔡秀梅,2002058473,女,21,15885051457
沈桂珍,2002097398,男,22,17257622887
杨丽丽,2002072916,男,18,18559623583
赵楠,2002036987,男,20,13310503339
李波,2002020957,男,19,13580035794
吴萍,2002089471,男,19,14964896684
马建,2002080752,男,22,14914795030
谢萍,2002054127,女,20,18776878227
祁成,2002015615,男,19,15565440610
马建华,2002097231,男,19,15322159502
刘霞,2002046720,女,21,15511507413
燕玉珍,2002044557,男,21,15361810739
杨玉华,2002036394,女,19,17226530091
牛春梅,2002070508,男,22,13513395842
杨鹏,2002046449,男,22,15243910445
王玉梅,2002032000,女,19,13718035942
樊梅,2002060927,女,19,14933178616
王波,2002011689,女,20,17314370883
程桂兰,2002032729,女,20,13859062141
郭萍,2002027888,女,22,14761874730
郜秀兰,2002095338,男,18,18671263565
袁瑜,2002048565,女,21,14971683582
董阳,2002071535,男,20,15165570479
牛春梅,2002012772,女,19,15399494898
郭桂芝,2002067617,女,18,13193609741
段勇,2002049216,女,19,15151007984
贾帅,2002026670,男,19,15679471306
潘亮,2002099563,男,21,14984175248
龚瑞,2002075031,女,18,15821849372
陈兰英,2002047729,女,20,17578730546
胡丹丹,2002092675,女,20,13362945978
杨伟,2002054467,男,18,18991713145
陈勇,2002063818,男,18,13985450356
王鹏,2002051250,女,22,18736593192
汪淑英,2002011710,女,21,18654745603
孟凯,2002038923,女,19,15123545139
张淑英,2002040455,女,22,15362811886
陈龙,2002012421,女,20,15010480401
刘旭,2002031208,女,19,14742092578
张俊,2002063406,女,22,13987168222
孙秀珍,2002050025,男,18,13330009455
杨秀梅,2002025903,男,19,18413349625
任建国,2002076982,男,19,14735483332
郭桂荣,2002025484,女,19,13243075838
张敏,2002068736,女,21,15840523972
戴旭,2002066143,男,22,15926852195
王博,2002062148,男,20,18085196061
胡浩,2002027943,男,19,13090581378
李淑英,2002064754,男,22,17356859993
谭玲,2002013455,女,22,18739474008
何佳,2002071136,女,18,15614974206
董洋,2002013786,男,21,14577799588
李斌,2002082483,男,19,17016829696
连淑英,2002070787,男,18,13178976790
徐莉,2002019602,女,22,17245722879
张辉,2002070317,女,18,17581566438
赫颖,2002053465,男,19,13823118223
胡燕,2002064372,男,19,17257694395
谭坤,2002091531,女,19,18313038462
钟旭,2002094253,女,18,17580703883
邢宇,2002078155,女,21,14928682149
陈超,2002049123,女,19,15363681004
陈杨,2002018113,男,18,15192873171
马旭,2002092204,女,20,17190226294
陈瑜,2002035701,女,22,13849851721
李艳,2002072355,女,20,15271044670
